Country,Resource,Quantity,Unit,Sector,Urgency,Time to ship from Canada to Country (days),Date Resource is Required by (yyyy-mm-dd)
Bolivia (Plurinational State of),Secondary paper products,1334.9,ton,Forestry,0.0899999999999997,11,2023-05-28
Cambodia,Secondary metal products,228189620760.64,gram,Minerals and mining,0.08,3,2023-05-06
Guam,Secondary metal products,227490181326.1,gram,Minerals and mining,0.11,4,2023-05-09
Viet Nam,Secondary metal products,213182063606.82,gram,Minerals and mining,0.15,11,2023-05-25
United States of America (the),Secondary metal products,199541633856.18,gram,Minerals and mining,0.07,7,2023-05-28
Morocco,Secondary metal products,150019326084.32,gram,Minerals and mining,0.03,11,2023-05-24
Canada,Secondary metal products,105764132912.9,gram,Minerals and mining,0.19,6,2023-05-25
Faroe Islands (the),Secondary metal products,56280834084.86,gram,Minerals and mining,0.12,0,2023-05-10
Maldives,Secondary metal products,33177560311.28,gram,Minerals and mining,0.18,3,2023-05-28
Zimbabwe,Secondary metal products,29897180291.44,gram,Minerals and mining,0.03,0,2023-05-07
Italy,Secondary metal products,5260640000.0,ounce,Minerals and mining,0.01,0,2023-05-23
Kiribati,Secondary metal products,4257888000.0,ounce,Minerals and mining,0.12,0,2023-05-06
Congo (the),Secondary metal products,3204448000.0,ounce,Minerals and mining,0.04,0,2023-05-02
Lebanon,Secondary metal products,2691617123.58,gram,Minerals and mining,0.04,10,2023-05-16
Guatemala,Secondary metal products,1931520000.0,ounce,Minerals and mining,0.08,2,2023-05-06
Macao,Secondary metal products,911232000.0,ounce,Minerals and mining,0.06,1,2023-05-09
Sierra Leone,Secondary metal products,885984000.0,ounce,Minerals and mining,0.04,7,2023-05-25
Guernsey,Secondary metal products,656736000.0,ounce,Minerals and mining,0.06,1,2023-05-09
Ethiopia,Secondary metal products,606464000.0,ounce,Minerals and mining,0.11,1,2023-05-16
Albania,Secondary metal products,597834743.66,gram,Minerals and mining,0.07,0,2023-05-02
Guyana,Secondary metal products,473608000.0,pound,Minerals and mining,0.03,1,2023-05-11
Fiji,Secondary metal products,467668000.0,pound,Minerals and mining,0.07,1,2023-05-07
Northern Mariana Islands (the),Secondary metal products,412688000.0,pound,Minerals and mining,0.07,10,2023-05-18
Kenya,Secondary metal products,293844000.0,pound,Minerals and mining,0.01,4,2023-05-27
Benin,Secondary metal products,219545057.37,kilogram,Minerals and mining,0.04,2,2023-05-07
Belgium,Secondary metal products,214174523.71,kilogram,Minerals and mining,0.25,0,2023-05-07
Guinea-Bissau,Secondary metal products,193614088.77,kilogram,Minerals and mining,0.07,0,2023-05-12
Venezuela (Bolivarian Republic of),Secondary metal products,178925860.64,kilogram,Minerals and mining,0.15,8,2023-05-24
Anguilla,Secondary metal products,173858326.68,kilogram,Minerals and mining,0.73,4,2023-05-05
Saint Pierre and Miquelon,Secondary metal products,138446000.0,pound,Minerals and mining,0.02,2,2023-05-14
New Caledonia,Secondary metal products,38619761.57,kilogram,Minerals and mining,0.27,0,2023-05-26
Dominica,Secondary metal products,26029851.74,kilogram,Minerals and mining,0.09,1,2023-05-04
Aruba,Secondary metal products,23746000.0,pound,Minerals and mining,0.09,12,2023-05-18
Sint Maarten (Dutch part),Secondary metal products,22981711.02,kilogram,Minerals and mining,0.0799999999999999,4,2023-05-12
Guadeloupe,Secondary metal products,268706.0,ton,Minerals and mining,0.11,2,2023-05-13
Gambia (the),Secondary metal products,262422.0,ton,Minerals and mining,0.1,8,2023-05-17
Bolivia (Plurinational State of),Secondary metal products,227296.0,ton,Minerals and mining,0.05,2,2023-05-15
Lao People's Democratic Republic (the),Secondary metal products,226996.0,ton,Minerals and mining,0.04,0,2023-05-22
Virgin Islands (British),Secondary metal products,226060.46,metric_ton,Minerals and mining,0.11,1,2023-05-02
Falkland Islands (the) [Malvinas],Secondary metal products,205490.04,metric_ton,Minerals and mining,0.12,13,2023-05-25
Cyprus,Secondary metal products,183589.0,ton,Minerals and mining,0.1,13,2023-05-18
South Sudan,Secondary metal products,158500.0,ton,Minerals and mining,0.05,5,2023-05-19
Mali,Secondary metal products,158171.0,ton,Minerals and mining,0.05,3,2023-05-11
French Guiana,Secondary metal products,143434.0,ton,Minerals and mining,0.02,4,2023-05-28
Turks and Caicos Islands (the),Secondary metal products,139537.71,metric_ton,Minerals and mining,0.0199999999999999,2,2023-05-03
Lithuania,Secondary metal products,138156.98,metric_ton,Minerals and mining,0.06,11,2023-05-25
Antigua and Barbuda,Secondary metal products,113810.0,ton,Minerals and mining,0.09,7,2023-05-18
Mozambique,Secondary metal products,99031.91,metric_ton,Minerals and mining,0.09,10,2023-05-26
Azerbaijan,Secondary metal products,89647.0,ton,Minerals and mining,0.01,2,2023-05-23
Iran (Islamic Republic of),Secondary metal products,87529.0,ton,Minerals and mining,0.04,2,2023-05-07
Moldova (the Republic of),Secondary metal products,83591.63,metric_ton,Minerals and mining,0.1,3,2023-05-10
Vanuatu,Secondary metal products,66201.0,ton,Minerals and mining,0.01,12,2023-05-23
United Kingdom of Great Britain and Northern Ireland (the),Secondary metal products,19921.78,metric_ton,Minerals and mining,0.05,4,2023-05-05
Bonaire Sint Eustatius and Saba,Secondary metal products,12034.71,metric_ton,Minerals and mining,0.1,4,2023-05-24
Saint Pierre and Miquelon,Refined petroleum products (fuels and lubricants),2746638009.29,cubic_centimeter,Energy,0.08,2,2023-05-12
Romania,Refined petroleum products (fuels and lubricants),2686385609.93,cubic_centimeter,Energy,0.03,12,2023-05-18
Papua New Guinea,Refined petroleum products (fuels and lubricants),2475000645.09,milliliter,Energy,0.02,0,2023-05-11
Malawi,Refined petroleum products (fuels and lubricants),2459098130.18,milliliter,Energy,0.04,12,2023-05-21
United States of America (the),Refined petroleum products (fuels and lubricants),1983393002.11,milliliter,Energy,0.03,9,2023-05-19
United Kingdom of Great Britain and Northern Ireland (the),Refined petroleum products (fuels and lubricants),1892247857.17,cubic_centimeter,Energy,0.1,4,2023-05-06
Paraguay,Refined petroleum products (fuels and lubricants),1829497086.03,cubic_centimeter,Energy,0.09,1,2023-05-07
Iraq,Refined petroleum products (fuels and lubricants),1399023843.37,milliliter,Energy,0.05,8,2023-05-23
French Guiana,Refined petroleum products (fuels and lubricants),1330625237.84,cubic_centimeter,Energy,0.03,10,2023-05-21
Bhutan,Refined petroleum products (fuels and lubricants),1196697368.92,cubic_centimeter,Energy,0.16,4,2023-05-02
South Sudan,Refined petroleum products (fuels and lubricants),1160622394.62,cubic_centimeter,Energy,0.09,13,2023-05-29
Bermuda,Refined petroleum products (fuels and lubricants),1014619062.11,cubic_centimeter,Energy,0.07,0,2023-05-18
Gibraltar,Refined petroleum products (fuels and lubricants),933043438.17,milliliter,Energy,0.0999999999999999,5,2023-05-16
Turks and Caicos Islands (the),Refined petroleum products (fuels and lubricants),749863576.53,milliliter,Energy,0.04,2,2023-05-07
Falkland Islands (the) [Malvinas],Refined petroleum products (fuels and lubricants),696050162.61,milliliter,Energy,0.13,7,2023-05-18
Angola,Refined petroleum products (fuels and lubricants),690349332.46,cubic_centimeter,Energy,0.05,2,2023-05-22
Panama,Refined petroleum products (fuels and lubricants),488798867.43,milliliter,Energy,0.14,7,2023-05-20
Liechtenstein,Refined petroleum products (fuels and lubricants),118604522.02,cubic_centimeter,Energy,0.1,11,2023-05-20
Bangladesh,Refined petroleum products (fuels and lubricants),112430515.4,milliliter,Energy,0.1,1,2023-05-02
Cyprus,Refined petroleum products (fuels and lubricants),6623336.0,pint,Energy,0.08,0,2023-05-10
Iran (Islamic Republic of),Refined petroleum products (fuels and lubricants),6541968.0,pint,Energy,0.11,0,2023-05-10
Sao Tome and Principe,Refined petroleum products (fuels and lubricants),6530336.0,pint,Energy,0.01,6,2023-05-29
Finland,Refined petroleum products (fuels and lubricants),5126224.0,pint,Energy,0.13,3,2023-05-11
Congo (the),Refined petroleum products (fuels and lubricants),4969168.0,pint,Energy,0.04,11,2023-05-16
Mexico,Refined petroleum products (fuels and lubricants),4149952.0,pint,Energy,0.03,3,2023-05-17
French Southern Territories (the),Refined petroleum products (fuels and lubricants),3606208.0,pint,Energy,0.16,2,2023-05-07
Mayotte,Refined petroleum products (fuels and lubricants),3241696.0,quart,Energy,0.18,0,2023-05-07
Uruguay,Refined petroleum products (fuels and lubricants),3140195.92,liter,Energy,0.04,2,2023-05-25
Jersey,Refined petroleum products (fuels and lubricants),2933535.15,liter,Energy,0.12,3,2023-05-07
Egypt,Refined petroleum products (fuels and lubricants),2860496.0,quart,Energy,0.07,0,2023-05-07
Albania,Refined petroleum products (fuels and lubricants),2699780.0,quart,Energy,0.1,1,2023-05-14
Argentina,Refined petroleum products (fuels and lubricants),2477177.26,liter,Energy,0.2,2,2023-05-13
Sri Lanka,Refined petroleum products (fuels and lubricants),2427960.0,pint,Energy,0.05,1,2023-05-07
Palestine State of,Refined petroleum products (fuels and lubricants),2355432.0,quart,Energy,0.04,3,2023-05-14
Philippines (the),Refined petroleum products (fuels and lubricants),2345408.0,pint,Energy,0.09,10,2023-05-26
Germany,Refined petroleum products (fuels and lubricants),2318636.0,quart,Energy,0.07,8,2023-05-28
Viet Nam,Refined petroleum products (fuels and lubricants),2293004.0,quart,Energy,0.16,4,2023-05-14
Benin,Refined petroleum products (fuels and lubricants),2231072.0,quart,Energy,0.01,4,2023-05-08
Azerbaijan,Refined petroleum products (fuels and lubricants),2118724.0,quart,Energy,0.01,10,2023-05-16
Andorra,Refined petroleum products (fuels and lubricants),2081928.0,quart,Energy,0.11,6,2023-05-26
Lebanon,Refined petroleum products (fuels and lubricants),2047801.78,liter,Energy,0.02,2,2023-05-15
Mauritania,Refined petroleum products (fuels and lubricants),1924376.0,pint,Energy,0.11,0,2023-05-07
Ecuador,Refined petroleum products (fuels and lubricants),1695069.54,liter,Energy,0.05,4,2023-05-18
Micronesia (Federated States of),Refined petroleum products (fuels and lubricants),1663075.24,liter,Energy,0.12,6,2023-05-28
Georgia,Refined petroleum products (fuels and lubricants),1550849.14,liter,Energy,0.03,1,2023-05-07
Cuba,Refined petroleum products (fuels and lubricants),1225032.0,quart,Energy,0.19,13,2023-05-19
Guinea-Bissau,Refined petroleum products (fuels and lubricants),1130568.0,quart,Energy,0.05,0,2023-05-05
Antigua and Barbuda,Refined petroleum products (fuels and lubricants),1112036.0,quart,Energy,0.16,3,2023-05-03
Rwanda,Refined petroleum products (fuels and lubricants),1059136.0,pint,Energy,0.01,11,2023-05-22
Åland Islands,Refined petroleum products (fuels and lubricants),918176.0,pint,Energy,0.13,8,2023-05-29
Tanzania United Republic of,Refined petroleum products (fuels and lubricants),908588.0,quart,Energy,0.13,1,2023-05-15
Belgium,Refined petroleum products (fuels and lubricants),736614.64,liter,Energy,0.01,4,2023-05-10
Kenya,Refined petroleum products (fuels and lubricants),702560.0,quart,Energy,0.14,2,2023-05-02
Somalia,Refined petroleum products (fuels and lubricants),700824.0,gallon,Energy,0.42,3,2023-05-02
Saint Barthélemy,Refined petroleum products (fuels and lubricants),667924.0,gallon,Energy,0.63,0,2023-05-29
Oman,Refined petroleum products (fuels and lubricants),666432.0,gallon,Energy,0.03,0,2023-05-10
United States Minor Outlying Islands (the),Refined petroleum products (fuels and lubricants),539214.0,gallon,Energy,1.1102230246251563e-16,4,2023-05-15
Lao People's Democratic Republic (the),Refined petroleum products (fuels and lubricants),500923.54,liter,Energy,0.0199999999999999,13,2023-05-29
Saint Vincent and the Grenadines,Refined petroleum products (fuels and lubricants),446696.0,quart,Energy,0.14,4,2023-05-07
Christmas Island,Refined petroleum products (fuels and lubricants),409657.0,gallon,Energy,0.1,4,2023-05-05
Gambia (the),Refined petroleum products (fuels and lubricants),264300.0,gallon,Energy,0.01,4,2023-05-28
Korea (the Republic of),Refined petroleum products (fuels and lubricants),214284.0,quart,Energy,0.08,0,2023-05-21
Switzerland,Refined petroleum products (fuels and lubricants),184370.0,gallon,Energy,0.19,5,2023-05-16
Mongolia,Refined petroleum products (fuels and lubricants),112592.58,cubic_foot,Energy,0.09,4,2023-05-02
Senegal,Refined petroleum products (fuels and lubricants),112332.0,quart,Energy,0.08,11,2023-05-21
Lithuania,Refined petroleum products (fuels and lubricants),111157.39,cubic_foot,Energy,0.06,5,2023-05-29
Curaçao,Refined petroleum products (fuels and lubricants),104337.67,cubic_foot,Energy,0.07,10,2023-05-22
Puerto Rico,Refined petroleum products (fuels and lubricants),97964.59,cubic_foot,Energy,0.07,8,2023-05-22
Liberia,Refined petroleum products (fuels and lubricants),59171.29,cubic_foot,Energy,0.02,11,2023-05-21
Gabon,Refined petroleum products (fuels and lubricants),53099.52,cubic_foot,Energy,0.08,1,2023-05-24
Congo (the Democratic Republic of the),Refined petroleum products (fuels and lubricants),52819.86,cubic_foot,Energy,0.07,4,2023-05-02
Heard Island and McDonald Islands,Refined petroleum products (fuels and lubricants),44021.81,cubic_foot,Energy,0.2,4,2023-05-15
India,Refined petroleum products (fuels and lubricants),41334.7,cubic_foot,Energy,0.25,3,2023-05-08
American Samoa,Refined petroleum products (fuels and lubricants),41225.75,cubic_foot,Energy,0.08,0,2023-05-05
Japan,Refined petroleum products (fuels and lubricants),17178.62,cubic_foot,Energy,0.15,3,2023-05-26
Eswatini,Refined petroleum products (fuels and lubricants),10471.87,cubic_foot,Energy,0.04,4,2023-05-02
Dominica,Refined petroleum products (fuels and lubricants),6047.84,cubic_foot,Energy,0.16,0,2023-05-13
Italy,Refined petroleum products (fuels and lubricants),2728.0,pint,Energy,0.09,0,2023-05-24
Bulgaria,Primary sawmill and wood products,10388748.0,inch,Forestry,0.03,3,2023-05-13
Cambodia,Primary sawmill and wood products,9224904.0,inch,Forestry,0.09,0,2023-05-13
Finland,Primary sawmill and wood products,9178968.0,inch,Forestry,0.1,3,2023-05-06
Luxembourg,Primary sawmill and wood products,7540440.0,inch,Forestry,0.14,3,2023-05-05
Tanzania United Republic of,Primary sawmill and wood products,3394356.0,inch,Forestry,0.12,0,2023-05-11
Wallis and Futuna,Primary sawmill and wood products,2283528.0,inch,Forestry,0.21,8,2023-05-16
Egypt,Primary sawmill and wood products,912475.0,foot,Forestry,0.11,0,2023-05-19
Mauritania,Primary sawmill and wood products,811996.0,foot,Forestry,0.08,2,2023-05-04
Ukraine,Primary sawmill and wood products,702316.0,foot,Forestry,0.02,6,2023-05-18
Myanmar,Primary sawmill and wood products,671239.0,foot,Forestry,1.0,0,2023-05-11
Panama,Primary sawmill and wood products,619054.0,foot,Forestry,0.22,8,2023-05-27
Western Sahara,Primary sawmill and wood products,570423.0,foot,Forestry,0.01,0,2023-05-09
Dominica,Primary sawmill and wood products,570404.0,foot,Forestry,0.01,1,2023-05-06
Malta,Primary sawmill and wood products,545740.0,foot,Forestry,0.03,12,2023-05-25
Trinidad and Tobago,Primary sawmill and wood products,464077.0,foot,Forestry,0.26,10,2023-05-25
Morocco,Primary sawmill and wood products,385422.0,foot,Forestry,0.07,2,2023-05-14
Burundi,Primary sawmill and wood products,316115.67,yard,Forestry,0.2,4,2023-05-20
Libya,Primary sawmill and wood products,305200.0,yard,Forestry,0.25,0,2023-05-09
Liechtenstein,Primary sawmill and wood products,293825.0,foot,Forestry,0.02,4,2023-05-24
Nicaragua,Primary sawmill and wood products,293134.39,meter,Forestry,0.12,8,2023-05-28
Kenya,Primary sawmill and wood products,278679.33,yard,Forestry,0.01,0,2023-05-04
Montserrat,Primary sawmill and wood products,278473.81,meter,Forestry,0.07,11,2023-05-20
Saint Vincent and the Grenadines,Primary sawmill and wood products,273988.67,yard,Forestry,0.03,13,2023-05-29
Qatar,Primary sawmill and wood products,265652.33,yard,Forestry,0.3,3,2023-05-04
Gambia (the),Primary sawmill and wood products,261476.0,yard,Forestry,0.04,3,2023-05-12
Bouvet Island,Primary sawmill and wood products,241439.33,yard,Forestry,0.1,3,2023-05-07
Sri Lanka,Primary sawmill and wood products,235632.0,yard,Forestry,0.01,1,2023-05-20
China,Primary sawmill and wood products,233792.0,yard,Forestry,0.11,10,2023-05-20
Zimbabwe,Primary sawmill and wood products,215594.0,yard,Forestry,0.1,1,2023-05-24
Moldova (the Republic of),Primary sawmill and wood products,212345.02,meter,Forestry,0.04,0,2023-05-02
Senegal,Primary sawmill and wood products,210305.6,meter,Forestry,0.06,1,2023-05-05
Gibraltar,Primary sawmill and wood products,207178.35,meter,Forestry,0.04,0,2023-05-08
Viet Nam,Primary sawmill and wood products,200204.22,meter,Forestry,0.05,9,2023-05-29
French Southern Territories (the),Primary sawmill and wood products,178271.12,meter,Forestry,0.07,4,2023-05-27
Canada,Primary sawmill and wood products,174557.13,meter,Forestry,0.06,2,2023-05-22
Benin,Primary sawmill and wood products,172748.0,yard,Forestry,0.08,3,2023-05-20
Bosnia and Herzegovina,Primary sawmill and wood products,163006.13,meter,Forestry,0.27,3,2023-05-21
Syrian Arab Republic,Primary sawmill and wood products,161063.33,meter,Forestry,0.01,5,2023-05-24
United Kingdom of Great Britain and Northern Ireland (the),Primary sawmill and wood products,158197.33,yard,Forestry,0.06,11,2023-05-26
Tajikistan,Primary sawmill and wood products,154013.61,meter,Forestry,0.04,1,2023-05-05
Montenegro,Primary sawmill and wood products,150468.0,foot,Forestry,0.1099999999999999,5,2023-05-16
British Indian Ocean Territory (the),Primary sawmill and wood products,125466.67,yard,Forestry,0.09,13,2023-05-19
Mexico,Primary sawmill and wood products,122866.71,meter,Forestry,0.02,2,2023-05-13
Brunei Darussalam,Primary sawmill and wood products,121716.7,meter,Forestry,0.06,3,2023-05-13
Eswatini,Primary sawmill and wood products,118279.33,yard,Forestry,0.01,1,2023-05-18
Saint Pierre and Miquelon,Primary sawmill and wood products,110128.33,yard,Forestry,0.04,4,2023-05-29
Belarus,Primary sawmill and wood products,109473.33,yard,Forestry,0.01,4,2023-05-29
Papua New Guinea,Primary sawmill and wood products,105119.73,meter,Forestry,0.11,2,2023-05-13
Congo (the Democratic Republic of the),Primary sawmill and wood products,87466.32,meter,Forestry,0.07,1,2023-05-29
Macao,Primary sawmill and wood products,25927.51,meter,Forestry,0.16,1,2023-05-05
Korea (the Republic of),Primary sawmill and wood products,24377.67,yard,Forestry,0.12,2,2023-05-09
Singapore,Primary sawmill and wood products,7821.47,meter,Forestry,0.11,1,2023-05-03
Barbados,Primary sawmill and wood products,290.94,kilometer,Forestry,0.31,2,2023-05-10
Republic of North Macedonia,Primary sawmill and wood products,285.53,kilometer,Forestry,0.1499999999999998,4,2023-05-17
Lao People's Democratic Republic (the),Primary sawmill and wood products,281.58,kilometer,Forestry,0.06,3,2023-05-29
Mongolia,Primary sawmill and wood products,231.14,kilometer,Forestry,0.09,0,2023-05-03
Yemen,Primary sawmill and wood products,223.87,kilometer,Forestry,0.04,7,2023-05-16
Guam,Primary sawmill and wood products,208.53,kilometer,Forestry,0.03,10,2023-05-23
Uzbekistan,Primary sawmill and wood products,198.76,kilometer,Forestry,0.02,2,2023-05-27
Slovenia,Primary sawmill and wood products,185.55,kilometer,Forestry,0.01,1,2023-05-26
Réunion,Primary sawmill and wood products,150.41,kilometer,Forestry,0.02,4,2023-05-27
New Caledonia,Primary sawmill and wood products,147.45,mile,Forestry,0.16,10,2023-05-28
Latvia,Primary sawmill and wood products,132.42,mile,Forestry,0.12,8,2023-05-27
Seychelles,Primary sawmill and wood products,127.25,kilometer,Forestry,0.04,1,2023-05-15
Turkmenistan,Primary sawmill and wood products,126.35,kilometer,Forestry,0.08,2,2023-05-23
Angola,Primary sawmill and wood products,122.22,kilometer,Forestry,0.02,13,2023-05-27
Saint Helena Ascension and Tristan da Cunha,Primary sawmill and wood products,94.12,kilometer,Forestry,0.0599999999999998,4,2023-05-20
Puerto Rico,Primary sawmill and wood products,92.35,mile,Forestry,0.09,2,2023-05-21
Lithuania,Primary sawmill and wood products,78.52,kilometer,Forestry,0.08,4,2023-05-14
Heard Island and McDonald Islands,Primary sawmill and wood products,72.27,kilometer,Forestry,0.15,4,2023-05-04
Japan,Primary sawmill and wood products,72.27,kilometer,Forestry,0.13,3,2023-05-14
Palau,Primary sawmill and wood products,70.9,kilometer,Forestry,0.16,0,2023-05-14
Cuba,Primary sawmill and wood products,67.5,mile,Forestry,0.11,1,2023-05-11
Monaco,Primary sawmill and wood products,60.48,mile,Forestry,0.23,8,2023-05-27
Georgia,Primary sawmill and wood products,54.08,mile,Forestry,0.0899999999999997,1,2023-05-03
Lebanon,Primary sawmill and wood products,46.57,kilometer,Forestry,0.04,4,2023-05-11
Gabon,Primary sawmill and wood products,43.94,kilometer,Forestry,0.03,9,2023-05-18
Kyrgyzstan,Primary sawmill and wood products,38.36,mile,Forestry,0.04,0,2023-05-06
Netherlands (the),Primary sawmill and wood products,0.73,kilometer,Forestry,0.09,2,2023-05-15
Bolivia (Plurinational State of),Primary pulp and paper products,485252000000.0,gram,Forestry,0.1,4,2023-05-16
Mozambique,Primary pulp and paper products,373471000000.0,gram,Forestry,0.06,2,2023-05-17
Puerto Rico,Primary pulp and paper products,347414000000.0,gram,Forestry,0.0899999999999997,0,2023-05-03
Poland,Primary pulp and paper products,311927000000.0,gram,Forestry,0.05,7,2023-05-22
Mongolia,Primary pulp and paper products,287579000000.0,gram,Forestry,0.08,7,2023-05-21
Cambodia,Primary pulp and paper products,241904000000.0,gram,Forestry,0.16,4,2023-05-08
Saint Pierre and Miquelon,Primary pulp and paper products,224987000000.0,gram,Forestry,0.02,4,2023-05-08
Tajikistan,Primary pulp and paper products,222326000000.0,gram,Forestry,0.09,11,2023-05-18
Western Sahara,Primary pulp and paper products,192557000000.0,gram,Forestry,0.03,9,2023-05-21
Bonaire Sint Eustatius and Saba,Primary pulp and paper products,142598000000.0,gram,Forestry,0.0800000000000001,1,2023-05-02
Liberia,Primary pulp and paper products,46817000000.0,gram,Forestry,0.13,0,2023-05-13
Virgin Islands (U.S.),Primary pulp and paper products,15628834321.0,ounce,Forestry,0.05,1,2023-05-22
Belize,Primary pulp and paper products,13431866148.89,ounce,Forestry,0.16,9,2023-05-26
China,Primary pulp and paper products,12900640281.93,ounce,Forestry,0.01,3,2023-05-04
Jamaica,Primary pulp and paper products,8687200801.02,ounce,Forestry,0.1,10,2023-05-20
Cyprus,Primary pulp and paper products,6087580353.26,ounce,Forestry,0.11,3,2023-05-24
South Georgia and the South Sandwich Islands,Primary pulp and paper products,2103104159.36,ounce,Forestry,0.01,4,2023-05-14
Niue,Primary pulp and paper products,909737524.91,pound,Forestry,0.03,1,2023-05-11
Zimbabwe,Primary pulp and paper products,858555006.12,pound,Forestry,0.15,2,2023-05-18
Réunion,Primary pulp and paper products,781227867.66,pound,Forestry,0.1,12,2023-05-20
Dominica,Primary pulp and paper products,582558300.09,pound,Forestry,0.06,4,2023-05-02
Colombia,Primary pulp and paper products,581180410.95,pound,Forestry,0.09,2,2023-05-02
South Sudan,Primary pulp and paper products,573027716.49,pound,Forestry,0.01,3,2023-05-26
Saint Kitts and Nevis,Primary pulp and paper products,525407867.86,pound,Forestry,0.16,4,2023-05-09
Mauritania,Primary pulp and paper products,470869000.0,kilogram,Forestry,0.04,2,2023-05-26
Kiribati,Primary pulp and paper products,425454687.43,pound,Forestry,0.03,4,2023-05-10
Iceland,Primary pulp and paper products,386631283.06,pound,Forestry,0.08,2,2023-05-03
Falkland Islands (the) [Malvinas],Primary pulp and paper products,358194000.0,kilogram,Forestry,0.01,1,2023-05-28
Austria,Primary pulp and paper products,355908000.0,kilogram,Forestry,0.19,3,2023-05-03
Korea (the Republic of),Primary pulp and paper products,347540000.0,kilogram,Forestry,0.04,1,2023-05-25
Sweden,Primary pulp and paper products,302273000.0,kilogram,Forestry,0.01,3,2023-05-15
Mayotte,Primary pulp and paper products,284932000.0,kilogram,Forestry,0.1,2,2023-05-03
Latvia,Primary pulp and paper products,175865000.0,kilogram,Forestry,0.06,4,2023-05-13
Lithuania,Primary pulp and paper products,164265000.0,kilogram,Forestry,0.08,4,2023-05-06
Uruguay,Primary pulp and paper products,110819000.0,kilogram,Forestry,0.11,0,2023-05-08
Morocco,Primary pulp and paper products,102104000.0,kilogram,Forestry,0.04,9,2023-05-21
Lebanon,Primary pulp and paper products,73122923.12,ounce,Forestry,0.07,11,2023-05-18
United States of America (the),Primary pulp and paper products,60805000.0,kilogram,Forestry,0.09,12,2023-05-18
Antarctica,Primary pulp and paper products,57534000.0,kilogram,Forestry,0.21,2,2023-05-08
Northern Mariana Islands (the),Primary pulp and paper products,495527.52,ton,Forestry,0.01,4,2023-05-12
Sudan (the),Primary pulp and paper products,441907.79,ton,Forestry,0.01,0,2023-05-10
Belarus,Primary pulp and paper products,438472.98,ton,Forestry,0.01,2,2023-05-20
Christmas Island,Primary pulp and paper products,427625.0,metric_ton,Forestry,0.07,10,2023-05-22
Cabo Verde,Primary pulp and paper products,416505.0,metric_ton,Forestry,0.06,4,2023-05-17
Germany,Primary pulp and paper products,383844.0,metric_ton,Forestry,0.07,3,2023-05-07
Ecuador,Primary pulp and paper products,356259.3,ton,Forestry,0.07,1,2023-05-15
Hungary,Primary pulp and paper products,346654.86,ton,Forestry,0.03,13,2023-05-19
Guam,Primary pulp and paper products,339735.0,metric_ton,Forestry,0.07,9,2023-05-24
Angola,Primary pulp and paper products,329006.0,metric_ton,Forestry,0.09,4,2023-05-06
United States Minor Outlying Islands (the),Primary pulp and paper products,325185.0,metric_ton,Forestry,0.14,2,2023-05-09
Moldova (the Republic of),Primary pulp and paper products,318748.75,ton,Forestry,0.01,3,2023-05-25
Guernsey,Primary pulp and paper products,299662.23,ton,Forestry,0.05,0,2023-05-12
Bermuda,Primary pulp and paper products,279020.0,metric_ton,Forestry,0.06,0,2023-05-11
Egypt,Primary pulp and paper products,273113.06,ton,Forestry,0.03,2,2023-05-14
Venezuela (Bolivarian Republic of),Primary pulp and paper products,253734.43,ton,Forestry,0.16,2,2023-05-04
Suriname,Primary pulp and paper products,239459.5,ton,Forestry,0.05,2,2023-05-09
Holy See (the),Primary pulp and paper products,195724.19,ton,Forestry,0.09,11,2023-05-26
French Southern Territories (the),Primary pulp and paper products,175899.12,ton,Forestry,0.12,6,2023-05-18
Singapore,Primary pulp and paper products,160956.0,metric_ton,Forestry,0.04,6,2023-05-28
Canada,Primary pulp and paper products,153095.0,metric_ton,Forestry,0.01,1,2023-05-05
Senegal,Primary pulp and paper products,144993.62,ton,Forestry,0.1,9,2023-05-25
Virgin Islands (British),Primary pulp and paper products,93949.99,ton,Forestry,0.13,10,2023-05-19
Burundi,Primary pulp and paper products,67876.0,metric_ton,Forestry,0.02,7,2023-05-24
Guatemala,Primary pulp and paper products,64394.82,ton,Forestry,0.13,7,2023-05-19
Tanzania United Republic of,Primary pulp and paper products,29902.0,metric_ton,Forestry,0.06,2,2023-05-19
Lao People's Democratic Republic (the),Primary pulp and paper products,15520.54,ton,Forestry,0.01,10,2023-05-20
Bermuda,Primary non-metallic minerals products,557270000000.0,gram,Minerals and mining,0.02,0,2023-05-09
Cabo Verde,Primary non-metallic minerals products,492763000000.0,gram,Minerals and mining,0.1,2,2023-05-18
Saint Helena Ascension and Tristan da Cunha,Primary non-metallic minerals products,460972000000.0,gram,Minerals and mining,0.13,2,2023-05-23
Guinea,Primary non-metallic minerals products,380230000000.0,gram,Minerals and mining,0.17,6,2023-05-22
Ethiopia,Primary non-metallic minerals products,372445000000.0,gram,Minerals and mining,0.2,13,2023-05-19
Gibraltar,Primary non-metallic minerals products,321104000000.0,gram,Minerals and mining,0.09,3,2023-05-06
South Georgia and the South Sandwich Islands,Primary non-metallic minerals products,320840000000.0,gram,Minerals and mining,0.09,9,2023-05-17
Fiji,Primary non-metallic minerals products,316610000000.0,gram,Minerals and mining,0.11,11,2023-05-16
Cayman Islands (the),Primary non-metallic minerals products,311947000000.0,gram,Minerals and mining,0.43,2,2023-05-18
